262144  1024  1  0 .0127036666 .0000002027 .0004502221 .0002599358 130952.250000 130949.661879 2.588121 0.001976         
524288  1024  1  0 .0142170000 .0000000164 .0001280624 .0000739368 261987.250000 261985.181763 2.068237 0.000789         
786432  1024  1  0 .0160576666 .0000000738 .0002716615 .0001568438 393056.500000 393053.868283 2.631717 0.000670         
1048576  1024  1  0 .0173633333 .0000000257 .0001603121 .0000925562 524358.000000 524353.016601 4.983399 0.000950         
1310720  1024  1  0 .0193520000 .0000001710 .0004135214 .0002387466 655365.500000 655361.754369 3.745631 0.000572         
1572864  1024  1  0 .0209696667 .0000001840 .0004289522 .0002476556 786588.000000 786585.295905 2.704095 0.000344         
1835008  1024  1  0 .0221716667 .0000000137 .0001170469 .0000675770 917825.250000 917821.942080 3.307920 0.000360         
2097152  1024  1  0 .0242346667 .0000000601 .0002451530 .0001415391 1049032.000000 1049028.925218 3.074782 0.000293         
2359296  1024  1  0 .0255850000 .0000000284 .0001685229 .0000972967 1180202.000000 1180200.076877 1.923123 0.000163         
2621440  1024  1  0 .0271580000 .0000000079 .0000888819 .0000513159 1311486.000000 1311482.766523 3.233477 0.000247         
2883584  1024  1  0 .0287016666 .0000000919 .0003031501 .0001750237 1442381.000000 1442374.452690 6.547310 0.000454         
3145728  1024  1  0 .0307200000 .0000000377 .0001941648 .0001121010 1573668.500000 1573664.041637 4.458363 0.000283         
3407872  1024  1  0 .0356616667 .0000001566 .0003957271 .0002284731 1704882.500000 1704877.400196 5.099804 0.000299         
3670016  1024  1  0 .0373833333 .0000000282 .0001679285 .0000969535 1835930.250000 1835924.850941 5.399059 0.000294         
3932160  1024  1  0 .0392683334 .0000000414 .0002034698 .0001174733 1967178.500000 1967169.486917 9.013083 0.000458         
4194304  1024  1  0 .0412270000 .0000000237 .0001539480 .0000888819 2098281.000000 2098273.198124 7.801876 0.000372         
4456448  1024  1  0 .0433343334 .0000009797 .0009897979 .0005714600 2229482.500000 2229476.852412 5.647588 0.000253         
4718592  1024  1  0 .0448183333 .0000000204 .0001428285 .0000824620 2360599.750000 2360592.170990 7.579010 0.000321         
4980736  1024  1  0 .0467476666 .0000000772 .0002778488 .0001604160 2492022.750000 2492018.561457 4.188543 0.000168         
5242880  1024  1  0 .0484696666 .0000000105 .0001024695 .0000591607 2623032.000000 2623029.793644 2.206356 0.000084         
5505024  1024  1  0 .0506213334 .0000002039 .0004515528 .0002607041 2754018.750000 2754017.737060 1.012940 0.000037         
5767168  1024  1  0 .0522093334 .0000000601 .0002451530 .0001415391 2885199.000000 2885198.148105 0.851895 0.000030         
6029312  1024  1  0 .0543163334 .0000001509 .0003884584 .0002242765 3016120.250000 3016119.898909 0.351091 0.000012         
6291456  1024  1  0 .0559340000 .0000000045 .0000670820 .0000387298 3147151.750000 3147151.453207 0.296793 0.000009         
6553600  1024  1  0 .0579226667 .0000000178 .0001334166 .0000770281 3278146.500000 3278146.183568 0.316432 0.000010         
6815744  1024  1  0 .0598966667 .0000000124 .0001113552 .0000642909 3408755.500000 3408750.937978 4.562022 0.000134         
7077888  1024  1  0 .0614843333 .0000000139 .0001178982 .0000680685 3539904.500000 3539900.881960 3.618040 0.000102         
7340032  1024  1  0 .0633690000 .0000000085 .0000921954 .0000532290 3671255.750000 3671249.901608 5.848392 0.000159         
7602176  1024  1  0 .0651796667 .0000000256 .0001600000 .0000923760 3802453.250000 3802446.549421 6.700579 0.000176         
7864320  1024  1  0 .0674800000 .0000002407 .0004906118 .0002832548 3933493.000000 3933483.450687 9.549313 0.000243         
8126464  1024  1  0 .0688603333 .0000000006 .0000244948 .0000141420 4064656.500000 4064646.468686 10.031314 0.000247         
8388608  1024  1  0 .0708046667 .0000000124 .0001113552 .0000642909 4195751.500000 4195743.789535 7.710465 0.000184         
8650752  1024  1  0 .0726150000 0 0 0 4326750.500000 4326738.237005 12.262995 0.000283         
8912896  1024  1  0 .0744850000 .0000000078 .0000883176 .0000509901 4457518.500000 4457508.652220 9.847780 0.000221         
9175040  1024  1  0 .0764880000 .0000000078 .0000883176 .0000509901 4588647.000000 4588640.763444 6.236556 0.000136         
9437184  1024  1  0 .0783730000 .0000000441 .0002100000 .0001212435 4720047.500000 4720039.348282 8.151718 0.000173         
9699328  1024  1  0 .0803320000 .0000001431 .0003782856 .0002184032 4851271.500000 4851260.338035 11.161965 0.000230         
9961472  1024  1  0 .0819793334 .0000000026 .0000509901 .0000294391 4982434.000000 4982423.298871 10.701129 0.000215         
10223616  1024  1  0 .0837750000 .0000000085 .0000921954 .0000532290 5113406.000000 5113393.128779 12.871221 0.000252         
10485760  1024  1  0 .0857636667 .0000000204 .0001428285 .0000824620 5244315.000000 5244305.323534 9.676466 0.000185         
10747904  1024  1  0 .0876333334 .0000000105 .0001024695 .0000591607 5375461.000000 5375440.059271 20.940729 0.000390         
11010048  1024  1  0 .0897410000 .0000001391 .0003729611 .0002153291 5506576.500000 5506556.178900 20.321100 0.000369         
11272192  1024  1  0 .0912843334 .0000000105 .0001024695 .0000591607 5637751.000000 5637731.887683 19.112317 0.000339         
11534336  1024  1  0 .0932286666 .0000000177 .0001330413 .0000768114 5768919.500000 5768894.409111 25.090889 0.000435         
11796480  1024  1  0 .0949350000 .0000000006 .0000244948 .0000141420 5900026.000000 5900000.753778 25.246222 0.000428         
12058624  1024  1  0 .0966863334 .0000000124 .0001113552 .0000642909 6030895.000000 6030856.486713 38.513287 0.000639         
12320768  1024  1  0 .0987046666 .0000000137 .0001170469 .0000675770 6161959.000000 6161928.232284 30.767716 0.000499         
