14417920    .0569800000 .0000000294 .0001714642 .0000989949 1268.000000 1268.305321 0.305321 0.024073         
14680064    .0586100000 .0000015537 .0012464750 .0007196526 1920.000000 1920.742349 0.742349 0.038649         
14942208    .0596470000 .0000009971 .0009985489 .0005765124 2080.000000 2080.349243 0.349243 0.016788         
15204352    .0600566667 .0000001425 .0003774917 .0002179449 1428.000000 1432.230262 4.230262 0.295362         
15466496    .0604436667 .0000000314 .0001772004 .0001023066 1650.000000 1658.644151 8.644151 0.521158         
15728640    .0622370000 .0000013561 .0011645170 .0006723342 1423.000000 1427.140417 4.140417 0.290120         
15990784    .0627630000 .0000001056 .0003249615 .0001876166 887.500000 889.054637 1.554637 0.174864         
16252928    .0636903333 .0000001564 .0003954743 .0002283271 1110.000000 1110.449351 0.449351 0.040466         
16515072    .0640746666 .0000000051 .0000714142 .0000412310 1124.000000 1124.436738 0.436738 0.038841         
16777216    .0651106666 .0000000765 .0002765863 .0001596871 1158.000000 1155.120385 2.879615 0.249291         
17039360    .0657653333 .0000000119 .0001090871 .0000629814 1682.000000 1676.578908 5.421092 0.323343         
17301504    .0665876666 .0000000056 .0000748331 .0000432049 1610.000000 1604.003533 5.996467 0.373844         
17563648    .0674816667 .0000000288 .0001697056 .0000979795 1495.000000 1486.240993 8.759007 0.589340         
17825792    .0683496666 .0000000924 .0003039736 .0001754992 1591.000000 1586.247348 4.752652 0.299616         
18087936    .0691680000 .0000000530 .0002302172 .0001329159 2007.000000 2001.005201 5.994799 0.299589         
18350080    .0703946667 .0000006682 .0008174350 .0004719463 2031.000000 2026.060443 4.939557 0.243801         
18612224    .0708340000 .0000000303 .0001740689 .0001004987 1723.000000 1722.773699 0.226301 0.013136         
18874368    .0717663333 .0000000865 .0002941088 .0001698037 1894.000000 1892.835138 1.164862 0.061541         
19136512    .0726506666 .0000000218 .0001476482 .0000852447 1188.000000 1185.781159 2.218841 0.187121         
19398656    .0733003334 .0000000713 .0002670205 .0001541643 1141.000000 1140.836477 0.163523 0.014334         
19660800    .0754270000 .0000044624 .0021124393 .0012196173 1651.000000 1655.678425 4.678425 0.282568         
19922944    .0754496667 .0000000446 .0002111871 .0001219289 1440.000000 1445.014821 5.014821 0.347043         
20185088    .0760533333 .0000001002 .0003165438 .0001827566 2302.000000 2304.915818 2.915818 0.126504         
20447232    .0772423334 .0000002168 .0004656178 .0002688245 1908.000000 1914.116213 6.116213 0.319532         
20709376    .0777653333 .0000000461 .0002147091 .0001239623 2000.000000 2005.511138 5.511138 0.274800         
20971520    .0792010000 .0000001061 .0003257299 .0001880602 2452.000000 2461.514376 9.514376 0.386525         
21233664    .0795676667 .0000000212 .0001456021 .0000840634 2994.000000 3003.302616 9.302616 0.309746         
21495808    .0804786667 .0000000148 .0001216552 .0000702376 2590.000000 2600.181911 10.181911 0.391585         
21757952    .0816076666 .0000000041 .0000640312 .0000369684 2752.000000 2761.544081 9.544081 0.345607         
22020096    .0822560000 .0000002856 .0005344155 .0003085449 3320.000000 3325.277893 5.277893 0.158720         
22282240    .0829436667 .0000001038 .0003221800 .0001860107 1752.000000 1757.694688 5.694688 0.323986         
22544384    .0839433333 .0000000469 .0002165640 .0001250332 336.000000 342.913639 6.913639 2.016146         
22806528    .0846086667 .0000000505 .0002247220 .0001297433 760.000000 761.655984 1.655984 0.217419         
23068672    .0861876667 .0000011269 .0010615554 .0006128892 142.000000 147.140847 5.140847 3.493827         
23330816    .0868940000 .0000002499 .0004998999 .0002886173 -279.000000 -271.556484 7.443516 2.741056         
23592960    .0872876666 .0000000062 .0000787400 .0000454605 -323.000000 -316.624424 6.375576 2.013608         
23855104    .0883723333 .0000000177 .0001330413 .0000768114 -731.000000 -725.175934 5.824066 0.803125         
24117248    .0887563334 .0000000408 .0002019900 .0001166189 -965.000000 -962.102959 2.897041 0.301115         
24379392    .0899766666 .0000000104 .0001019803 .0000588783 -985.000000 -986.084245 1.084245 0.109955         
24641536    .0906666667 .0000000612 .0002473863 .0001428285 -170.000000 -164.529596 5.470404 3.324875         
24903680    .0916086667 .0000000281 .0001676305 .0000967815 364.000000 370.171601 6.171601 1.667227         
25165824    .0924500000 .0000000309 .0001757839 .0001014888 -829.000000 -825.839818 3.160182 0.382663         
25427968    .0934100000 .0000000447 .0002114237 .0001220655 -841.000000 -836.967184 4.032816 0.481837         
25690112    .0942933333 .0000001129 .0003360059 .0001939930 -1216.000000 -1213.055362 2.944638 0.242746         
25952256    .0949333334 .0000000535 .0002313006 .0001335414 -1522.000000 -1518.659659 3.340341 0.219953         
26214400    .0960406667 .0000001324 .0003638681 .0002100793 -1403.000000 -1402.982779 0.017221 0.001227         
26476544    .0966560000 .0000000025 .0000500000 .0000288675 -1285.000000 -1285.173088 0.173088 0.013468         
26738688    .0975040000 .0000000656 .0002561249 .0001478737 -981.000000 -978.900536 2.099464 0.214472         
27000832    .0983103333 .0000000069 .0000830662 .0000479582 -658.000000 -649.972493 8.027507 1.235053         
27262976    .0994643333 .0000000947 .0003077336 .0001776700 -802.000000 -792.418623 9.581377 1.209131         
27525120    .1003146666 .0000000607 .0002463736 .0001422438 -1039.000000 -1029.965259 9.034741 0.877189         
27787264    .1013760000 .0000001953 .0004419275 .0002551469 -1634.000000 -1623.288427 10.711573 0.659869         
28049408    .1018943333 .0000000508 .0002253885 .0001301281 -1705.000000 -1698.587754 6.412246 0.377505         
28311552    .1027816667 .0000000012 .0000346410 .0000199999 -1834.000000 -1827.110459 6.889541 0.377073         
28573696    .1035446667 .0000000035 .0000591607 .0000341564 -2068.000000 -2056.571241 11.428759 0.555719         
28835840    .1044873333 .0000000136 .0001166190 .0000673300 -2808.000000 -2796.786947 11.213053 0.400926         
29097984    .1052736667 .0000000237 .0001539480 .0000888819 -2776.000000 -2765.781906 10.218094 0.369447         
29360128    .1062016666 .0000000334 .0001827566 .0001055145 -3204.000000 -3197.607393 6.392607 0.199918         
29622272    .1074836666 .0000000748 .0002734958 .0001579028 -3460.000000 -3450.094002 9.905998 0.287123         
29884416    .1081483334 .0000000346 .0001860107 .0001073933 -3560.000000 -3545.545349 14.454651 0.407685         
30146560    .1091476666 .0000001428 .0003778888 .0002181742 -3500.000000 -3495.994426 4.005574 0.114576         
30408704    .1095476666 .0000000501 .0002238302 .0001292284 -4744.000000 -4736.417160 7.582840 0.160097         
30670848    .1103220000 .0000000079 .0000888819 .0000513159 -4264.000000 -4254.375323 9.624677 0.226230         
