104857600  512  1  0.00   .3519640000 .0000000230 .0001516575 .0000758287   -4004.696533 -3998.287105 6.409428 0.160304         
104857600  512  1  0.02   .3732740000 .0000000013 .0000360555 .0000180277   -4003.895996 -3998.287105 5.608891 0.140282         
104857600  512  1  0.04   .3949627500 .0000000175 .0001322875 .0000661437   -4003.214355 -3998.287105 4.927250 0.123234         
104857600  512  1  0.06   .4165404999 .0000000093 .0000964365 .0000482182   -4003.189941 -3998.287105 4.902836 0.122623         
104857600  512  1  0.08   .4382367500 .0000000011 .0000331662 .0000165831   -4003.934082 -3998.287105 5.646977 0.141235         
104857600  512  1  0.10   .4596822500 .0000000008 .0000282842 .0000141421   -4005.146973 -3998.287105 6.859867 0.171570         
104857600  512  1  0.12   .4812875000 .0000000045 .0000670820 .0000335410   -4004.124512 -3998.287105 5.837406 0.145998         
104857600  512  1  0.14   .5028652500 .0000000227 .0001506651 .0000753325   -4003.861084 -3998.287105 5.573979 0.139409         
104857600  512  1  0.16   .5244855000 .0000000105 .0001024695 .0000512347   -4003.146973 -3998.287105 4.859867 0.121549         
104857600  512  1  0.18   .5460117501 .0000000072 .0000848528 .0000424264   -4004.468262 -3998.287105 6.181156 0.154595         
104857600  512  1  0.20   .5675427501 .0000000026 .0000509901 .0000254950   -4003.828613 -3998.287105 5.541508 0.138597         
104857600  512  1  0.22   .5892152501 .0000000531 .0002304343 .0001152171   -4002.540527 -3998.287105 4.253422 0.106381         
104857600  512  1  0.24   .6107640000 .0000000140 .0001183215 .0000591607   -4002.403809 -3998.287105 4.116703 0.102962         
104857600  512  1  0.26   .6323065000 .0000000166 .0001288409 .0000644204   -4002.177246 -3998.287105 3.890141 0.097295         
104857600  512  1  0.28   .6539417500 .0000000294 .0001714642 .0000857321   -4002.796387 -3998.287105 4.509281 0.112780         
104857600  512  1  0.30   .6755425000 .0000000140 .0001183215 .0000591607   -4007.012207 -3998.287105 8.725102 0.218221         
104857600  512  1  0.32   .6971122500 .0000000172 .0001311487 .0000655743   -4002.585449 -3998.287105 4.298344 0.107505         
104857600  512  1  0.34   .7187815001 .0000000765 .0002765863 .0001382931   -4003.353027 -3998.287105 5.065922 0.126702         
104857600  512  1  0.36   .7401425000 .0000000223 .0001493318 .0000746659   -4003.570801 -3998.287105 5.283695 0.132149         
104857600  512  1  0.38   .7617402500 .0000000132 .0001148912 .0000574456   -4002.674316 -3998.287105 4.387211 0.109727         
104857600  512  1  0.40   .7833322500 .0000000402 .0002004993 .0001002496   -4003.759277 -3998.287105 5.472172 0.136863         
104857600  512  1  0.42   .8049640000 .0000000336 .0001833030 .0000916515   -4003.408691 -3998.287105 5.121586 0.128095         
104857600  512  1  0.44   .8264255000 .0000000187 .0001367479 .0000683739   -4003.694824 -3998.287105 5.407719 0.135251         
104857600  512  1  0.46   .8480420001 .0000000281 .0001676305 .0000838152   -4003.866699 -3998.287105 5.579594 0.139550         
104857600  512  1  0.48   .8696327500 .0000000022 .0000469041 .0000234520   -4003.533691 -3998.287105 5.246586 0.131221         
104857600  512  1  0.50   .8914165000 .0000001018 .0003190611 .0001595305   -4003.842285 -3998.287105 5.555180 0.138939         
104857600  512  1  0.52   .9127562499 .0000000184 .0001356465 .0000678232   -4005.157715 -3998.287105 6.870609 0.171839         
104857600  512  1  0.54   .9343910000 .0000000308 .0001754992 .0000877496   -4010.857910 -3998.287105 12.570805 0.314405         
104857600  512  1  0.56   .9558907499 .0000000317 .0001780449 .0000890224   -4004.479004 -3998.287105 6.191898 0.154864         
104857600  512  1  0.58   .9775717500 .0000000237 .0001539480 .0000769740   -4003.849121 -3998.287105 5.562016 0.139110         
104857600  512  1  0.60   .9990730000 .0000000022 .0000469041 .0000234520   -4010.251465 -3998.287105 11.964359 0.299237         
104857600  512  1  0.62   1.0207212500 .0000000181 .0001345362 .0000672681   -4003.732910 -3998.287105 5.445805 0.136203         
104857600  512  1  0.64   1.0421200000 .0000000101 .0001004987 .0000502493   -4002.282715 -3998.287105 3.995609 0.099933         
104857600  512  1  0.66   1.0639805000 .0000000582 .0002412467 .0001206233   -4002.703613 -3998.287105 4.416508 0.110460         
104857600  512  1  0.68   1.0854452500 .0000000169 .0001300000 .0000650000   -4003.114746 -3998.287105 4.827641 0.120743         
