262144    .0145610000 .0000000555 .0002355843 .0001360146 130920.093750 130920.087997 0.005753 0.000004         
 
262144    .0151043334 .0000001157 .0003401470 .0001963839 130920.093750 130920.087997 0.005753 0.000004         
524288    .0146260000 .0000000290 .0001702938 .0000983191 261961.312500 261961.306932 0.005568 0.000002         
786432    .0163266667 .0000064445 .0025386019 .0014656624 393098.812500 393098.816808 0.004308 0.000001         
1048576    .0164723334 .0000036532 .0019113346 .0011035095 524543.875000 524543.923007 0.048007 0.000009         
1310720    .0152246666 .0000000067 .0000818535 .0000472581 655656.125000 655656.175438 0.050438 0.000008         
1572864    .0164640000 .0000000560 .0002366431 .0001366259 786552.500000 786552.507046 0.007046 0.000001         
1835008    .0226380000 .0000000446 .0002111871 .0001219289 917722.125000 917722.119639 0.005361 0.000001         
2097152    .0242796666 .0000001154 .0003397057 .0001961291 1048649.750000 1048649.811834 0.061834 0.000006         
2359296    .0258890000 .0000000721 .0002685144 .0001550268 1179624.375000 1179624.413909 0.038909 0.000003         
2621440    .0279456666 .0000011156 .0010562196 .0006098086 1310629.625000 1310629.656470 0.031470 0.000002         
2883584    .0284843334 .0000000103 .0001014889 .0000585946 1441734.625000 1441734.721014 0.096014 0.000007         
3145728    .0306390000 .0000006655 .0008157818 .0004709918 1572779.750000 1572779.906754 0.156754 0.000010         
3407872    .0310003334 .0000000716 .0002675817 .0001544883 1704016.000000 1704016.020993 0.020993 0.000001         
3670016    .0322463333 .0000001582 .0003977436 .0002296373 1835158.750000 1835158.833498 0.083498 0.000005         
3932160    .0333783333 .0000000181 .0001345362 .0000776745 1966338.000000 1966338.051635 0.051635 0.000003         
4194304    .0347820000 .0000000449 .0002118962 .0001223383 2097085.250000 2097085.291164 0.041164 0.000002         
4456448    .0359153333 .0000001152 .0003394112 .0001959591 2228143.000000 2228142.955246 0.044754 0.000002         
4718592    .0380373333 .0000022988 .0015161794 .0008753665 2359106.750000 2359106.734329 0.015671 0.000001         
4980736    .0382326667 .0000000202 .0001421267 .0000820568 2489916.750000 2489916.765857 0.015857 0.000001         
5242880    .0396926667 .0000000346 .0001860107 .0001073933 2620929.000000 2620928.908971 0.091029 0.000003         
5505024    .0411723334 .0000000276 .0001661324 .0000959165 2751910.000000 2751910.058152 0.058152 0.000002         
5767168    .0422530000 .0000000093 .0000964365 .0000556776 2883009.000000 2883008.960729 0.039271 0.000001         
6029312    .0433803334 .0000001283 .0003581898 .0002068009 3014194.500000 3014194.597265 0.097265 0.000003         
6291456    .0448470000 .0000000305 .0001746424 .0001008298 3145449.750000 3145449.876459 0.126459 0.000004         
6553600    .0461910000 .0000000600 .0002449489 .0001414213 3276310.750000 3276310.778353 0.028353 0.000001         
6815744    .0477013333 .0000006108 .0007815369 .0004512205 3407368.750000 3407368.654004 0.095996 0.000003         
7077888    .0498313333 .0000001082 .0003289376 .0001899122 3538407.250000 3538407.236803 0.013197 0.000000         
7340032    .0509396666 .0000004930 .0007021395 .0004053804 3669433.500000 3669433.567549 0.067549 0.000002         
7602176    .0525920000 .0000004111 .0006411708 .0003701801 3800561.000000 3800560.918865 0.081135 0.000002         
7864320    .0527816666 .0000000226 .0001503329 .0000867947 3931389.000000 3931388.941512 0.058488 0.000001         
8126464    .0545720000 .0000000215 .0001466287 .0000846561 4062392.250000 4062392.110700 0.139300 0.000003         
8388608    .0555466666 .0000000214 .0001462873 .0000844590 4193549.000000 4193548.924047 0.075953 0.000002         
8650752    .0574210000 .0000006914 .0008315046 .0004800694 4324634.000000 4324634.277999 0.277999 0.000006         
8912896    .0579873334 .0000000144 .0001200000 .0000692820 4455699.500000 4455699.426611 0.073389 0.000002         
9175040    .0592670000 .0000000786 .0002803569 .0001618641 4586713.500000 4586713.332513 0.167487 0.000004         
9437184    .0597906666 .0000000726 .0002694438 .0001555634 4717705.500000 4717705.514785 0.014785 0.000000         
9699328    .0615000000 .0000001828 .0004275511 .0002468467 4848677.000000 4848677.102147 0.102147 0.000002         
9961472    .0630016667 .0000000603 .0002455605 .0001417744 4979792.500000 4979792.708412 0.208412 0.000004         
10223616    .0641846667 .0000002320 .0004816637 .0002780886 5110630.500000 5110630.687695 0.187695 0.000004         
10485760    .0649983333 .0000000184 .0001356465 .0000783155 5241575.500000 5241575.248494 0.251506 0.000005         
10747904    .0664066666 .0000003699 .0006081940 .0003511409 5372325.500000 5372325.138085 0.361915 0.000007         
11010048    .0688926666 .0000016091 .0012685030 .0007323705 5503183.500000 5503183.265958 0.234042 0.000004         
11272192    .0689803334 .0000000376 .0001939071 .0001119523 5634337.000000 5634337.104401 0.104401 0.000002         
11534336    .0698196666 .0000000346 .0001860107 .0001073933 5765435.000000 5765435.013274 0.013274 0.000000         
11796480    .0718070000 .0000014534 .0012055704 .0006960363 5896454.500000 5896454.363110 0.136890 0.000002         
12058624    .0726046667 .0000001528 .0003908964 .0002256841 6027285.000000 6027284.927949 0.072051 0.000001         
12320768    .0736380000 .0000001896 .0004354308 .0002513960 6158522.000000 6158521.916196 0.083804 0.000001         
12582912    .0753260000 .0000000800 .0002828427 .0001632993 6289395.000000 6289394.564088 0.435912 0.000007         
12845056    .0764940000 .0000000800 .0002828427 .0001632993 6420366.000000 6420366.061879 0.061879 0.000001         
13107200    .0778230000 .0000002200 .0004690415 .0002708012 6551475.000000 6551475.494093 0.494093 0.000008         
13369344    .0783830000 .0000000455 .0002133072 .0001231529 6683009.000000 6683009.359513 0.359513 0.000005         
13631488    .0798973333 .0000011841 .0010881635 .0006282514 6814155.000000 6814154.710840 0.289160 0.000004         
13893632    .0806590000 .0000002848 .0005336665 .0003081124 6945365.000000 6945364.955321 0.044679 0.000001         
14155776    .0816733334 .0000002652 .0005149757 .0002973213 7076646.000000 7076645.791860 0.208140 0.000003         
14417920    .0829003333 .0000000996 .0003155946 .0001822086 7207757.000000 7207756.488242 0.511758 0.000007         
14680064    .0842530000 .0000002103 .0004585847 .0002647640 7338738.000000 7338738.010729 0.010729 0.000000         
14942208    .0855730000 .0000001626 .0004032369 .0002328089 7469615.000000 7469615.407107 0.407107 0.000005         
15204352    .0865973333 .0000000801 .0002830194 .0001634013 7600876.000000 7600876.028254 0.028254 0.000000         
15466496    .0877410000 .0000000102 .0001009950 .0000583094 7732104.000000 7732104.220731 0.220731 0.000003         
15728640    .0888863333 .0000001572 .0003964845 .0002289104 7863335.000000 7863335.042332 0.042332 0.000001         
15990784    .0904553334 .0000011367 .0010661613 .0006155485 7994434.000000 7994434.442402 0.442402 0.000006         
16252928    .0911786667 .0000005037 .0007097182 .0004097559 8125683.500000 8125683.725099 0.225099 0.000003         
16515072    .0932650000 .0000019540 .0013978555 .0008070522 8256448.500000 8256448.404005 0.095995 0.000001         
16777216    .0937440000 .0000001509 .0003884584 .0002242765 8387384.500000 8387384.663043 0.163043 0.000002         
17039360    .0949173333 .0000001965 .0004432832 .0002559296 8518727.000000 8518727.741801 0.741801 0.000009         
